Game ID,Date,Home Team,Away Team,Outcome,home_points-per-game,home_true-shooting-percentage,home_offensive-rebounds-per-game,home_defensive-rebounds-per-game,home_steals-per-game,home_assist--per--turnover-ratio,home_personal-fouls-per-game,home_win-pct-all-games,away_points-per-game,away_true-shooting-percentage,away_offensive-rebounds-per-game,away_defensive-rebounds-per-game,away_steals-per-game,away_assist--per--turnover-ratio,away_personal-fouls-per-game,away_win-pct-all-games
32,10/22/22,Milwaukee Bucks,Houston Rockets,1,113.4,110.1,12.4,39.2,6.8,1.779,20.2,1.000,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167
33,10/22/22,Dallas Mavericks,Memphis Grizzlies,1,118.6,118.5,10.0,33.0,7.4,1.370,23.0,0.400,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667
34,10/22/22,Denver Nuggets,Oklahoma City Thunder,1,114.8,116.8,11.2,34.2,7.2,1.822,21.5,0.667,112.3,104.9,13.3,34.8,9.0,2.056,21.8,0.500
35,10/22/22,Sacramento Kings,Los Angeles Clippers,0,114.2,117.4,8.2,34.6,5.8,1.756,24.8,0.200,102.6,111.6,8.2,38.2,7.2,1.111,19.6,0.400
36,10/23/22,Los Angeles Lakers,Portland Trail Blazers,0,102.2,99.6,9.2,36.4,10.0,1.444,20.6,0.000,115.3,117.9,11.3,34.0,7.7,1.313,17.8,0.833
37,10/23/22,Atlanta Hawks,Charlotte Hornets,0,117.2,114.2,10.2,33.5,7.7,2.157,21.7,0.667,118.5,111.1,12.2,35.2,6.2,2.024,20.7,0.500
38,10/23/22,Cleveland Cavaliers,Washington Wizards,1,117.0,118.2,10.2,33.6,6.0,1.566,21.6,0.800,112.0,117.1,8.0,34.2,6.8,1.557,21.8,0.600
39,10/23/22,New Orleans Pelicans,Utah Jazz,0,119.8,116.6,12.6,31.0,8.6,1.811,19.8,0.600,117.0,112.0,13.1,31.9,9.7,1.724,23.7,0.714
40,10/23/22,Oklahoma City Thunder,Minnesota Timberwolves,0,112.3,104.9,13.3,34.8,9.0,2.056,21.8,0.500,118.0,113.9,11.8,37.8,8.2,1.707,19.7,0.667
41,10/23/22,Golden State Warriors,Sacramento Kings,1,119.5,115.5,10.0,33.2,7.8,1.835,23.2,0.500,114.2,117.4,8.2,34.6,5.8,1.756,24.8,0.200
42,10/23/22,Los Angeles Clippers,Phoenix Suns,0,102.6,111.6,8.2,38.2,7.2,1.111,19.6,0.400,117.6,115.8,11.6,33.4,7.6,2.191,22.6,0.800
43,10/24/22,Philadelphia 76ers,Indiana Pacers,1,109.3,119.5,6.9,31.7,7.6,1.824,18.3,0.429,118.9,112.9,12.6,33.4,5.9,1.980,22.9,0.429
44,10/24/22,Miami Heat,Toronto Raptors,0,108.0,112.0,9.3,31.1,8.1,1.750,20.7,0.286,104.8,108.9,9.8,32.8,9.3,1.972,21.2,0.500
45,10/24/22,New York Knicks,Orlando Magic,1,119.8,110.2,14.4,36.4,5.8,1.881,23.8,0.600,105.7,108.9,10.0,35.3,6.5,1.352,23.5,0.167
46,10/24/22,Chicago Bulls,Boston Celtics,1,112.7,112.5,11.3,32.3,9.4,1.644,20.3,0.429,117.6,121.3,8.8,30.2,6.2,1.725,23.8,0.600
47,10/24/22,Houston Rockets,Utah Jazz,1,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167,117.0,112.0,13.1,31.9,9.7,1.724,23.7,0.714
48,10/24/22,Memphis Grizzlies,Brooklyn Nets,1,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667,113.5,114.4,9.5,29.5,6.7,1.885,24.3,0.167
49,10/24/22,Minnesota Timberwolves,San Antonio Spurs,0,118.0,113.9,11.8,37.8,8.2,1.707,19.7,0.667,119.8,115.6,11.5,31.3,7.7,1.990,19.5,0.667
50,10/24/22,Portland Trail Blazers,Denver Nuggets,1,115.3,117.9,11.3,34.0,7.7,1.313,17.8,0.833,114.8,116.8,11.2,34.2,7.2,1.822,21.5,0.667
51,10/25/22,Washington Wizards,Detroit Pistons,1,107.7,114.6,7.3,34.7,7.3,1.333,21.7,0.667,111.3,104.4,14.0,33.7,7.3,1.976,20.7,0.333
52,10/25/22,New Orleans Pelicans,Dallas Mavericks,1,125.0,112.6,16.7,36.3,8.7,1.826,19.0,0.667,121.0,122.1,10.0,36.0,6.5,1.481,23.0,0.500
53,10/25/22,Oklahoma City Thunder,Los Angeles Clippers,1,110.3,104.0,12.3,36.3,7.7,1.974,22.7,0.000,103.0,111.3,8.0,39.0,8.3,1.137,21.0,0.667
54,10/25/22,Phoenix Suns,Golden State Warriors,1,110.0,110.7,10.0,33.3,7.7,2.024,25.3,0.667,125.3,119.4,8.0,32.0,9.3,1.780,22.3,0.667
