Team,points-per-game,true-shooting-percentage,offensive-rebounds-per-game,defensive-rebounds-per-game,steals-per-game,assist--per--turnover-ratio,personal-fouls-per-game,win-pct-all-games
Memphis,120.3,115.4,12.7,31.3,6.8,1.667,22.2,0.667
San Antonio,119.8,115.6,11.5,31.3,7.7,1.990,19.5,0.667
New York,119.8,110.2,14.4,36.4,5.8,1.881,23.8,0.600
New Orleans,119.8,116.6,12.6,31.0,8.6,1.811,19.8,0.600
Golden State,119.5,115.5,10.0,33.2,7.8,1.835,23.2,0.500
Indiana,118.9,112.9,12.6,33.4,5.9,1.980,22.9,0.429
Dallas,118.6,118.5,10.0,33.0,7.4,1.370,23.0,0.400
Charlotte,118.5,111.1,12.2,35.2,6.2,2.024,20.7,0.500
Minnesota,118.0,113.9,11.8,37.8,8.2,1.707,19.7,0.667
Phoenix,117.6,115.8,11.6,33.4,7.6,2.191,22.6,0.800
Boston,117.6,121.3,8.8,30.2,6.2,1.725,23.8,0.600
Atlanta,117.2,114.2,10.2,33.5,7.7,2.157,21.7,0.667
Cleveland,117.0,118.2,10.2,33.6,6.0,1.566,21.6,0.800
Utah,117.0,112.0,13.1,31.9,9.7,1.724,23.7,0.714
Portland,115.3,117.9,11.3,34.0,7.7,1.313,17.8,0.833
Denver,114.8,116.8,11.2,34.2,7.2,1.822,21.5,0.667
Sacramento,114.2,117.4,8.2,34.6,5.8,1.756,24.8,0.200
Brooklyn,113.5,114.4,9.5,29.5,6.7,1.885,24.3,0.167
Milwaukee,113.4,110.1,12.4,39.2,6.8,1.779,20.2,1.000
Chicago,112.7,112.5,11.3,32.3,9.4,1.644,20.3,0.429
Okla City,112.3,104.9,13.3,34.8,9.0,2.056,21.8,0.500
Washington,112.0,117.1,8.0,34.2,6.8,1.557,21.8,0.600
Houston,110.0,104.7,14.5,32.3,6.8,1.271,22.0,0.167
Detroit,109.7,105.2,12.8,31.5,5.7,1.700,22.5,0.167
Philadelphia,109.3,119.5,6.9,31.7,7.6,1.824,18.3,0.429
Miami,108.0,112.0,9.3,31.1,8.1,1.750,20.7,0.286
Orlando,105.7,108.9,10.0,35.3,6.5,1.352,23.5,0.167
Toronto,104.8,108.9,9.8,32.8,9.3,1.972,21.2,0.500
LA Clippers,102.6,111.6,8.2,38.2,7.2,1.111,19.6,0.400
LA Lakers,102.2,99.6,9.2,36.4,10.0,1.444,20.6,0.000
